Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,T,P,WS
2014-01-26,3,1,0,1,0,1,4,0,0,1,1,2,0,0,1,0,1,0,1,2,0,0,0,0,0,2,0,2,0,0,1,1,1,3,2,1,0,1,1,0,1,0,0,0,0,0,0,8,0,0,31.0,0.0,14.0
2014-01-27,1,0,0,0,0,1,7,1,2,1,2,0,0,1,0,2,0,0,1,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,2,1,0,31.0,0.0,14.0
2014-01-28,2,0,0,0,0,1,7,3,2,1,0,1,0,1,0,0,0,1,1,2,1,0,0,0,0,4,0,0,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,1,4,1,0,31.0,0.0,14.0
2014-01-29,1,0,0,1,0,0,6,0,2,0,1,0,0,0,0,1,1,1,4,2,0,1,1,0,3,0,1,1,0,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0,0,31.0,0.0,14.0
2014-01-30,3,0,0,2,1,1,7,0,0,0,1,2,0,1,0,2,1,1,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,31.0,0.0,14.0
2014-01-31,1,0,2,2,0,1,7,0,4,1,3,1,0,0,0,1,1,2,2,1,0,0,0,0,0,0,1,0,3,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,7,0,0,31.0,0.0,14.0
2014-02-01,3,0,2,1,1,0,7,0,0,3,1,2,0,1,0,1,2,1,0,1,0,1,0,1,0,1,0,3,0,0,3,0,1,6,0,1,0,0,2,0,0,0,0,1,0,0,4,2,1,4,31.0,0.0,14.0
2014-02-02,1,1,0,0,0,0,4,0,1,2,1,2,0,2,1,0,0,0,3,0,0,1,1,2,1,0,0,0,1,3,0,0,1,1,3,0,0,2,0,0,3,1,0,0,0,0,0,4,0,0,31.0,0.0,14.0
2014-02-03,2,0,0,0,1,0,5,0,1,1,1,2,0,2,2,0,0,0,2,0,0,0,0,0,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,31.0,0.0,14.0
2014-02-04,1,0,0,0,0,2,3,3,0,0,2,2,0,2,0,0,3,0,1,0,0,0,0,0,0,3,0,1,4,1,0,1,0,2,0,0,0,0,0,0,3,0,0,0,1,0,1,3,0,0,31.0,0.0,14.0
2014-02-05,1,0,0,1,0,0,5,0,3,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,31.0,0.0,14.0
2014-02-06,1,1,0,0,0,3,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,31.0,0.0,14.0
2014-02-07,0,1,0,0,0,1,6,0,3,0,0,0,0,0,1,4,2,0,1,1,0,0,0,0,2,2,0,1,2,1,0,0,1,0,1,0,0,2,0,0,2,2,0,0,1,0,2,7,0,1,31.0,0.0,14.0
2014-02-08,3,1,1,1,2,0,3,0,0,0,7,2,0,1,0,4,2,0,2,1,0,0,2,0,1,3,1,2,1,2,2,1,0,3,1,2,0,1,1,0,2,0,0,2,0,0,1,6,1,4,31.0,0.0,14.0
2014-02-09,1,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,1,0,0,2,2,0,1,1,0,0,0,0,0,3,0,3,31.0,0.0,14.0
2014-02-10,1,0,0,0,0,1,7,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,31.0,0.0,14.0
2014-02-11,0,2,0,1,1,0,3,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,2,2,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,31.0,0.0,14.0
